t,P_TP53,P_BRCA1,P_MYC,P_CCND1,P_PTEN,P_ATM,P_CDKN1A,P_BCL2,P_PARP1,P_AKT1
20.60301507537688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.105527638190953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.608040201005025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.110552763819094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.613065326633162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.115577889447234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.618090452261306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.120603015075375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.623115577889443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.125628140703515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.628140703517587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.130653266331656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.633165829145725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.135678391959797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.63819095477387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.140703517587937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.643216080402006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.145728643216078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.64824120603015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.15075376884422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.653266331658287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31.15577889447236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31.65829145728643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32.1608040201005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32.66331658291457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33.16582914572864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33.66834170854271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34.17085427135678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34.67336683417085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35.175879396984925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35.678391959798994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36.18090452261306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36.68341708542713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37.1859296482412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37.688442211055275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.19095477386934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.69346733668341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39.19597989949749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39.698492462311556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40.201005025125625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40.70351758793969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41.20603015075376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41.70854271356784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42.211055276381906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42.713567839195974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43.21608040201005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43.71859296482412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44.22110552763819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44.723618090452256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45.226130653266324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45.7286432160804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.23115577889447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.73366834170854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47.23618090452261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47.73869346733668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48.24120603015075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48.74371859296482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49.24623115577889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49.74874371859296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50.25125628140703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50.7537688442211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51.256281407035175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51.75879396984924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52.26130653266331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52.76381909547738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53.26633165829145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53.768844221105525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54.27135678391959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54.77386934673366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55.27638190954774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55.778894472361806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56.281407035175874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56.78391959798994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57.28643216080401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57.78894472361809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58.291457286432156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58.793969849246224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59.2964824120603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59.79899497487437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.30150753768844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.804020100502505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61.306532663316574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61.80904522613065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62.31155778894472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62.81407035175879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.31658291457286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.81909547738693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64.321608040201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64.82412060301507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.32663316582914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65.82914572864321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66.33165829145727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66.83417085427135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67.33668341708542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67.83919597989949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68.34170854271356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68.84422110552764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
